id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,nama_bank,jumlah_pembayaran,satuan,tahun
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,NIAGA,0,RUPIAH,2016
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,BJB,105284300,RUPIAH,2016
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,BCA,5975500,RUPIAH,2016
125,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,BNI,12050300,RUPIAH,2016
126,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,BRI,40711000,RUPIAH,2016
127,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,PERMATA,0,RUPIAH,2016
128,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,NIAGA,152300,RUPIAH,2016
129,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,BJB,31773500,RUPIAH,2016
130,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,BJB,11467800,RUPIAH,2016
131,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,BCA,7820900,RUPIAH,2016
132,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,BCA,5661200,RUPIAH,2016
133,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,BNI,64381300,RUPIAH,2016
134,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,BNI,12124000,RUPIAH,2016
135,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,BRI,56005700,RUPIAH,2016
136,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,BRI,10797600,RUPIAH,2016
137,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,PERMATA,0,RUPIAH,2016
138,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,PERMATA,0,RUPIAH,2016
139,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,NIAGA,211800,RUPIAH,2016
